Player,No.,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Player-additional
JD Davison,20,PG,1-Jun,195,October 3 2002,us US,2,Alabama,davisjd01
Sam Hauser,30,PF,7-Jun,217,December 8 1997,us US,3,Marquette Virginia,hausesa01
Jrue Holiday,4,PG,4-Jun,220,June 12 1990,us US,15,UCLA,holidjr01
Al Horford,42,C,8-Jun,240,June 3 1986,do DO,17,Florida,horfoal01
Luke Kornet,40,C,1-Jul,250,July 15 1995,us US,7,Vanderbilt,kornelu01
Miles Norris,44,PF,7-Jun,220,April 15 2000,us US,R,Oregon City College of San Francisco UC Santa Barbara,norrimi01
Drew Peterson,13,PF,8-Jun,205,November 9 1999,us US,1,Rice University USC,peterdr01
Kristaps Porziņģis,8,C,2-Jul,240,August 2 1995,lv LV,8,,porzikr01
Payton Pritchard,11,PG,1-Jun,195,January 28 1998,us US,4,Oregon,pritcpa01
Neemias Queta,88,C,Jul-00,248,July 13 1999,pt PT,3,Utah State University,quetane01
Baylor Scheierman,55,SG,6-Jun,205,September 26 2000,us US,R,South Dakota State Creighton,scheiba01
Jaden Springer,44,SG,4-Jun,202,September 25 2002,us US,3,Tennessee,sprinja01
Jayson Tatum,0,PF,8-Jun,210,March 3 1998,us US,7,Duke,tatumja01
Xavier Tillman Sr.,26,C,8-Jun,245,January 12 1999,us US,4,Michigan State,tillmxa01
Jordan Walsh,27,PF,6-Jun,205,March 3 2004,us US,1,Arkansas,walshjo01
Derrick White,9,SG,4-Jun,190,July 2 1994,us US,7,Colorado-Colorado Springs Colorado,whitede01
Kyle Anderson,1,PF,8-Jun,230,September 20 1993,us US,10,UCLA,anderky01
Reece Beekman,3,PG,3-Jun,190,October 8 2001,us US,R,Virginia,beekmre01
Jimmy Butler,10,SF,6-Jun,230,September 14 1989,us US,13,Tyler Junior College Marquette,butleji01
Yuri Collins,99,PG,Jun-00,190,March 7 2001,us US,R,Saint Louis,colliyu01
Stephen Curry,30,PG,2-Jun,185,March 14 1988,us US,15,Davidson,curryst01
Draymond Green,23,PF,6-Jun,230,March 4 1990,us US,12,Michigan State,greendr01
Buddy Hield,7,SG,4-Jun,220,December 17 1992,bs BS,8,Oklahoma,hieldbu01
Trayce Jackson-Davis,32,C,9-Jun,245,February 22 2000,us US,1,Indiana,jackstr02
Braxton Key,12,SF,7-Jun,225,February 14 1997,us US,3,Alabama Virginia,keybr01
Kevin Knox,31,SF,8-Jun,215,August 11 1999,us US,6,Kentucky,knoxke01
Jonathan Kuminga,0,PF,7-Jun,225,October 6 2002,cd CD,3,,kuminjo01
Kevon Looney,5,C,9-Jun,222,February 6 1996,us US,9,UCLA,looneke01
De'Anthony Melton,8,SG,2-Jun,200,May 28 1998,us US,6,USC,meltode01
Moses Moody,4,SG,5-Jun,211,May 31 2002,us US,3,Arkansas,moodymo01
Gary Payton II,0,SG,2-Jun,195,December 1 1992,us US,8,Oregon State,paytoga02
Brandin Podziemski,2,SG,4-Jun,205,February 25 2003,us US,1,Illinois Santa Clara,podzibr01
Quinten Post,21,PF,Jul-00,238,March 21 2000,nl NL,R,Mississippi State Boston College,postqu01
Jackson Rowe,44,PF,6-Jun,210,January 4 1997,ca CA,R,Cal State Fullerton,roweja01
Gui Santos,15,PF,7-Jun,185,June 22 2002,br BR,1,,santogu01
Dennis Schröder,71,SG,1-Jun,175,September 15 1993,de DE,11,,schrode01
Pat Spencer,61,PG,2-Jun,205,July 4 1996,us US,1,Loyola (MD) Northwestern,spencpa01
Lindy Waters III,43,SG,5-Jun,210,July 28 1997,us US,3,Oklahoma State,waterli01
Andrew Wiggins,22,SF,6-Jun,197,February 23 1995,ca CA,10,Kansas,wiggian01
Bam Adebayo,13,C,9-Jun,255,July 18 1997,us US,7,Kentucky,adebaba01
Kyle Anderson,20,SF,8-Jun,230,September 20 1993,us US,10,UCLA,anderky01
Thomas Bryant,31,C,9-Jun,248,July 31 1997,us US,7,Indiana,bryanth01
Alec Burks,18,SG,5-Jun,214,July 20 1991,us US,13,Colorado,burksal01
Jimmy Butler,22,PF,6-Jun,230,September 14 1989,us US,13,Tyler Junior College Marquette,butleji01
Josh Christopher,8,SG,4-Jun,215,December 8 2001,us US,2,Arizona State,chrisjo01
Tyler Herro,14,SG,5-Jun,195,January 20 2000,us US,5,Kentucky,herroty01
Haywood Highsmith,24,SF,5-Jun,220,December 9 1996,us US,4,Wheeling University,highsha01
Jaime Jaquez Jr.,11,SF,6-Jun,225,February 18 2001,us US,1,UCLA,jaqueja01
Keshad Johnson,16,SF,6-Jun,225,June 23 2001,us US,R,San Diego State Arizona,johnske10
Nikola Jović,5,PF,10-Jun,205,June 9 2003,gb GB,2,,jovicni01
Pelle Larsson,9,SG,5-Jun,215,February 23 2001,se SE,R,Utah Arizona,larsspe01
Kevin Love,42,PF,10-Jun,251,September 7 1988,us US,16,UCLA,loveke01
Davion Mitchell,45,PG,Jun-00,202,September 5 1998,us US,3,Auburn Baylor,mitchda01
Josh Richardson,0,SG,5-Jun,200,September 15 1993,us US,9,Tennessee,richajo01
Duncan Robinson,55,SF,7-Jun,215,April 22 1994,us US,6,Williams Michigan,robindu01
Terry Rozier,2,PG,1-Jun,190,March 17 1994,us US,9,Louisville,roziete01
Dru Smith,12,SG,2-Jun,203,December 30 1997,us US,2,University of Evansville Missouri,smithdr01
Isaiah Stevens,4,PG,11-May,185,November 1 2000,us US,R,Colorado State,steveis01
Kel'el Ware,7,C,Jul-00,230,April 20 2004,us US,R,Oregon Indiana,wareke01
Andrew Wiggins,22,SF,6-Jun,197,February 23 1995,ca CA,10,Kansas,wiggian01
